sku,tp,final_mrp_old,margin
Os282KR_M,415.00,2095.00,1680.00
Os282KR_L,415.00,2095.00,1680.00
Os282KR_XL,415.00,2095.00,1680.00
Os282KR_2XL,415.00,2095.00,1680.00
Os282KR_3XL,415.00,2095.00,1680.00
Os210_3137_S,519.00,2195.00,1676.00
Os210_3137_M,519.00,2195.00,1676.00
Os210_3137_L,519.00,2195.00,1676.00
Os210_3137_XL,519.00,2195.00,1676.00
Os210_3137_2XL,519.00,2195.00,1676.00
Os210_3137_3XL,519.00,2195.00,1676.00
Os180_3134_S,519.00,2195.00,1676.00
Os180_3134_M,519.00,2195.00,1676.00
Os180_3134_L,519.00,2195.00,1676.00
Os180_3134_XL,519.00,2195.00,1676.00
Os180_3134_2XL,519.00,2195.00,1676.00
Os180_3134_3XL,519.00,2195.00,1676.00
Os125_S,450.00,2095.00,1645.00
Os125_M,450.00,2095.00,1645.00
Os125_L,450.00,2095.00,1645.00
Os125_XL,450.00,2095.00,1645.00
Os125_2XL,450.00,2095.00,1645.00
Os125_3XL,450.00,2095.00,1645.00
Os1073_S,500.00,2095.00,1595.00
Os1073_M,500.00,2095.00,1595.00
Os1073_L,500.00,2095.00,1595.00
Os1073_XL,500.00,2095.00,1595.00
Os1073_2XL,500.00,2095.00,1595.00
Os1073_3XL,500.00,2095.00,1595.00
Os308_L,615.00,2195.00,1580.00
Os308_3XL,615.00,2195.00,1580.00
Os266_S,425.00,1995.00,1570.00
Os266_M,425.00,1995.00,1570.00
Os266_L,425.00,1995.00,1570.00
Os266_XL,425.00,1995.00,1570.00
Os266_2XL,425.00,1995.00,1570.00
Os266_3XL,425.00,1995.00,1570.00
Os151_S,425.00,1995.00,1570.00
Os151_M,425.00,1995.00,1570.00
Os151_L,425.00,1995.00,1570.00
Os151_XL,425.00,1995.00,1570.00
Os151_2XL,425.00,1995.00,1570.00
Os151_3XL,425.00,1995.00,1570.00
Os163_S,425.00,1995.00,1570.00
Os163_M,425.00,1995.00,1570.00
Os163_L,425.00,1995.00,1570.00
Os163_XL,425.00,1995.00,1570.00
Os163_2XL,425.00,1995.00,1570.00
Os163_3XL,425.00,1995.00,1570.00
Os262_S,425.00,1995.00,1570.00
Os262_M,425.00,1995.00,1570.00
Os262_L,425.00,1995.00,1570.00
Os262_XL,425.00,1995.00,1570.00
Os262_2XL,425.00,1995.00,1570.00
Os262_3XL,425.00,1995.00,1570.00
Os115_S,425.00,1995.00,1570.00
Os115_M,425.00,1995.00,1570.00
Os115_L,425.00,1995.00,1570.00
