sku,amazon_mrp,flipkart_mrp,myntra_mrp,price_gap
Os184_1127_L,2295.00,2295.00,2295.00,0.00
Os184_1127_XL,2295.00,2295.00,2295.00,0.00
Os184_1127_2XL,2295.00,2295.00,2295.00,0.00
Os184_1127_3XL,2295.00,2295.00,2295.00,0.00
Os231_1384_S,2795.00,2795.00,2795.00,0.00
Os231_1384_M,2795.00,2795.00,2795.00,0.00
Os231_1384_L,2795.00,2795.00,2795.00,0.00
Os231_1384_XL,2795.00,2795.00,2795.00,0.00
Os231_1384_2XL,2795.00,2795.00,2795.00,0.00
Os231_1384_3XL,2795.00,2795.00,2795.00,0.00
Os186_1377_S,2295.00,2295.00,2295.00,0.00
Os186_1377_M,2295.00,2295.00,2295.00,0.00
Os186_1377_L,2295.00,2295.00,2295.00,0.00
Os186_1377_XL,2295.00,2295.00,2295.00,0.00
Os186_1377_2XL,2295.00,2295.00,2295.00,0.00
Os186_1377_3XL,2295.00,2295.00,2295.00,0.00
Os185_1105_S,2295.00,2295.00,2295.00,0.00
Os185_1105_M,2295.00,2295.00,2295.00,0.00
Os185_1105_L,2295.00,2295.00,2295.00,0.00
Os185_1105_XL,2295.00,2295.00,2295.00,0.00
Os185_1105_2XL,2295.00,2295.00,2295.00,0.00
Os185_1105_3XL,2295.00,2295.00,2295.00,0.00
Os190_1128_S,2295.00,2295.00,2295.00,0.00
Os190_1128_M,2295.00,2295.00,2295.00,0.00
Os190_1128_L,2295.00,2295.00,2295.00,0.00
Os190_1128_XL,2295.00,2295.00,2295.00,0.00
Os190_1128_2XL,2295.00,2295.00,2295.00,0.00
Os190_1128_3XL,2295.00,2295.00,2295.00,0.00
Os192_1124_S,2295.00,2295.00,2295.00,0.00
Os192_1124_M,2295.00,2295.00,2295.00,0.00
Os192_1124_L,2295.00,2295.00,2295.00,0.00
Os192_1124_XL,2295.00,2295.00,2295.00,0.00
Os192_1124_2XL,2295.00,2295.00,2295.00,0.00
Os192_1124_3XL,2295.00,2295.00,2295.00,0.00
Os172_1092_S,2295.00,2295.00,2295.00,0.00
Os172_1092_M,2295.00,2295.00,2295.00,0.00
Os172_1092_L,2295.00,2295.00,2295.00,0.00
Os172_1092_XL,2295.00,2295.00,2295.00,0.00
Os172_1092_2XL,2295.00,2295.00,2295.00,0.00
Os172_1092_3XL,2295.00,2295.00,2295.00,0.00
Os176_1015_S,3095.00,3095.00,3095.00,0.00
Os176_1015_M,3095.00,3095.00,3095.00,0.00
Os176_1015_L,3095.00,3095.00,3095.00,0.00
Os176_1015_XL,3095.00,3095.00,3095.00,0.00
Os176_1015_2XL,3095.00,3095.00,3095.00,0.00
Os176_1015_3XL,3095.00,3095.00,3095.00,0.00
Os196_1371_S,2295.00,2295.00,2295.00,0.00
Os196_1371_M,2295.00,2295.00,2295.00,0.00
Os196_1371_L,2295.00,2295.00,2295.00,0.00
Os196_1371_XL,2295.00,2295.00,2295.00,0.00
Os196_1371_2XL,2295.00,2295.00,2295.00,0.00
Os196_1371_3XL,2295.00,2295.00,2295.00,0.00
Os193_1062_S,2395.00,2395.00,2395.00,0.00
Os193_1062_M,2395.00,2395.00,2395.00,0.00
Os193_1062_L,2395.00,2395.00,2395.00,0.00
